,"CountVectorizer(ngram_range=(1, 1))","CountVectorizer(ngram_range=(2, 2))","CountVectorizer(ngram_range=(1, 2))","HashingVectorizer(ngram_range=(1, 1))","HashingVectorizer(ngram_range=(2, 2))","HashingVectorizer(ngram_range=(1, 2))","TfidfVectorizer(ngram_range=(1, 1))","TfidfVectorizer(ngram_range=(2, 2))","TfidfVectorizer(ngram_range=(1, 2))"
CalibratedClassifierCV,91% (1 ms / 0 ms),88% (1 ms / 0 ms),91% (2 ms / 0 ms),91% (1 ms / 0 ms),88% (1 ms / 0 ms),92% (2 ms / 0 ms),92% (1 ms / 0 ms),90% (2 ms / 0 ms),92% (2 ms / 1 ms)
LinearDiscriminantAnalysis,28% (100 ms / 1 ms),-,-,-,-,-,26% (122 ms / 1 ms),-,-
DummyClassifier,16% (0 ms / 0 ms),16% (1 ms / 0 ms),16% (1 ms / 1 ms),16% (0 ms / 0 ms),16% (0 ms / 0 ms),16% (0 ms / 0 ms),16% (0 ms / 0 ms),16% (1 ms / 0 ms),16% (1 ms / 1 ms)
AdaBoostClassifier,59% (2 ms / 0 ms),55% (9 ms / 1 ms),58% (11 ms / 1 ms),58% (20 ms / 1 ms),49% (54 ms / 1 ms),51% (58 ms / 1 ms),58% (3 ms / 0 ms),43% (10 ms / 1 ms),57% (13 ms / 1 ms)
BaggingClassifier,76% (16 ms / 0 ms),70% (72 ms / 1 ms),77% (76 ms / 1 ms),76% (60 ms / 1 ms),70% (112 ms / 1 ms),76% (107 ms / 1 ms),78% (18 ms / 0 ms),65% (72 ms / 1 ms),76% (79 ms / 1 ms)
ExtraTreesClassifier,89% (14 ms / 0 ms),81% (50 ms / 1 ms),87% (48 ms / 1 ms),89% (120 ms / 1 ms),83% (93 ms / 1 ms),88% (80 ms / 1 ms),89% (14 ms / 0 ms),82% (46 ms / 1 ms),87% (45 ms / 1 ms)
GradientBoostingClassifier,87% (72 ms / 0 ms),78% (397 ms / 0 ms),86% (512 ms / 1 ms),86% (323 ms / 0 ms),78% (949 ms / 0 ms),87% (840 ms / 0 ms),87% (73 ms / 0 ms),78% (284 ms / 0 ms),87% (363 ms / 0 ms)
RandomForestClassifier,87% (6 ms / 0 ms),79% (22 ms / 1 ms),85% (22 ms / 1 ms),86% (53 ms / 1 ms),80% (41 ms / 1 ms),86% (34 ms / 1 ms),86% (6 ms / 0 ms),78% (21 ms / 1 ms),85% (22 ms / 1 ms)
GaussianProcessClassifier,19% (1784 ms / 1758 ms),-,-,-,-,-,91% (1917 ms / 10395 ms),-,-
LogisticRegression,91% (2 ms / 0 ms),86% (7 ms / 0 ms),91% (12 ms / 0 ms),90% (17 ms / 0 ms),84% (17 ms / 0 ms),89% (19 ms / 0 ms),92% (2 ms / 0 ms),89% (8 ms / 0 ms),92% (9 ms / 0 ms)
LogisticRegressionCV,91% (70 ms / 0 ms),87% (164 ms / 0 ms),91% (436 ms / 0 ms),91% (568 ms / 0 ms),89% (617 ms / 0 ms),92% (856 ms / 1 ms),92% (54 ms / 0 ms),90% (335 ms / 1 ms),92% (448 ms / 1 ms)
